pitch_rad,pitch_rate_rad,yaw_rad,yaw_rate_rad,pwm
-0.000717,-6.9e-05,-0.066031,0.00174,-5.0
-0.000514,0.006592,-0.066,0.002539,-6.0
-0.000265,0.012454,-0.065996,0.00174,-6.0
5.9e-05,0.012987,-0.065991,-0.000125,-7.0
0.000183,0.004194,-0.065977,-0.000658,-7.0
1.5e-05,-0.009395,-0.065946,0.002539,-7.0
-0.000177,-0.008063,-0.065915,0.000408,-6.0
-0.000406,-0.004599,-0.065909,0.001207,-6.0
-0.000435,0.001529,-0.065882,0.001474,-6.0
-0.000236,0.003928,-0.065864,0.001207,-6.0
-5.2e-05,0.006059,-0.065848,0.000674,-7.0
2.6e-05,0.003128,-0.065834,0.001207,-7.0
9.7e-05,0.001529,-0.06582,0.001207,-7.0
-2.3e-05,0.001796,-0.065816,0.003072,-7.0
-6.7e-05,-0.001402,-0.065767,0.00174,-7.0
3e-05,0.004994,-0.065774,-0.000392,-7.0
8.3e-05,0.001796,-0.065776,0.00174,-7.0
9.4e-05,0.00526,-0.065773,0.002006,-7.0
0.000151,0.002595,-0.065763,0.00174,-7.0
0.000189,0.002862,-0.065748,0.000408,-7.0
0.000239,0.002062,-0.065731,0.000408,-7.0
0.000265,0.004994,-0.065731,-0.000925,-7.0
0.000323,0.004461,-0.065742,-0.000658,-8.0
0.000314,-0.005931,-0.065726,-0.001458,-8.0
2.6e-05,-0.009662,-0.065707,-0.001191,-7.0
-0.000243,-0.010461,-0.065702,-0.000925,-6.0
-0.00051,-0.003267,-0.065654,0.001207,-6.0
-0.000727,-0.000336,-0.065639,0.001207,-5.0
-0.00073,0.007658,-0.065639,0.001474,-5.0
-0.000336,0.014853,-0.065597,0.002273,-6.0
0.000107,0.016185,-0.065572,0.002273,-7.0
0.000488,0.01352,-0.065549,0.000408,-8.0
0.000605,0.002862,-0.065539,0.000674,-8.0
0.000553,-0.004599,-0.065518,0.000941,-8.0
0.000226,-0.014192,-0.065486,0.004138,-7.0
-0.00027,-0.013659,-0.065467,0.000141,-6.0
-0.000745,-0.011527,-0.065456,0.000674,-5.0
-0.00098,0.001796,-0.065429,-0.000392,-5.0
-0.00088,0.014586,-0.065409,0.000141,-5.0
-0.000528,0.018317,-0.06543,0.001474,-6.0
-0.000161,0.015386,-0.065437,-0.000392,-6.0
7e-06,0.008724,-0.065445,0.001474,-7.0
0.000146,0.000997,-0.065441,-0.001191,-7.0
-5.7e-05,-0.00753,-0.065409,0.000408,-7.0
-0.000438,-0.013392,-0.065408,-0.001458,-6.0
-0.000792,-0.012859,-0.065382,0.00174,-5.0
-0.001088,-0.004066,-0.065367,-0.000658,-4.0
-0.001181,0.004461,-0.065344,0.000674,-4.0
-0.000993,0.012987,-0.06533,-0.000392,-4.0
-0.000702,0.016984,-0.065312,0.001474,-5.0
-0.000398,0.013254,-0.065282,0.00174,-6.0
-0.00016,0.003928,-0.065253,0.002806,-6.0
-3.9e-05,-0.002734,-0.065213,-0.000392,-7.0
-7.4e-05,-0.008063,-0.065193,0.001474,-6.0
-0.000329,-0.007797,-0.065189,-0.000125,-6.0
-0.000577,-0.0038,-0.065148,0.001207,-5.0
-0.000797,0.000997,-0.06513,0.002006,-5.0
-0.00071,0.007658,-0.065103,0.000408,-5.0
-0.000497,0.009523,-0.06511,0.000674,-5.0
-0.000283,0.008458,-0.065098,-0.000392,-6.0
-7.6e-05,0.007392,-0.065095,0.000141,-6.0
9.9e-05,0.006859,-0.06508,-0.000925,-7.0
0.000186,0.00073,-0.06509,-0.001458,-7.0
0.000144,-0.004333,-0.065063,0.001207,-7.0
-0.000212,-0.006464,-0.065043,0.00174,-6.0
-0.000501,-0.011261,-0.065017,0.002539,-5.0
-0.000781,-0.006464,-0.064999,0.003072,-5.0
-0.001096,-0.010728,-0.064985,-0.000658,-4.0
-0.001448,-0.016057,-0.064993,0.000674,-3.0
-0.001997,-0.015791,-0.064979,0.000408,-2.0
-0.00231,-0.00833,-0.06495,0.002273,-1.0
-0.002456,-6.9e-05,-0.064924,-0.000392,-1.0
-0.002232,0.012188,-0.06489,-0.000125,-1.0
-0.001945,0.016185,-0.064877,0.002273,-2.0
-0.001544,0.016185,-0.064871,0.000408,-3.0
-0.00129,0.007925,-0.064871,0.000408,-3.0
-0.001311,-0.004333,-0.064856,-0.000658,-3.0
-0.001618,-0.017389,-0.064853,-0.000392,-2.0
-0.002105,-0.022985,-0.064827,0.003072,-1.0
-0.002662,-0.01659,-0.064792,0.002806,0.0
-0.003106,-0.010195,-0.064751,0.001207,0.0
-0.003225,0.002062,-0.064743,0.000141,1.0
-0.002916,0.015652,-0.064706,0.003872,0.0
-0.002408,0.023912,-0.064704,0.000674,0.0
-0.001878,0.017784,-0.064682,0.001207,-1.0
-0.001558,0.010323,-0.064684,0.000674,-2.0
-0.001449,-0.001402,-0.064656,0.001474,-2.0
-0.001616,-0.013659,-0.064645,-0.001191,-2.0
-0.002095,-0.020587,-0.064632,0.001207,0.0
-0.00261,-0.017123,-0.064602,0.00174,0.0
-0.003099,-0.008863,-0.064566,0.00174,1.0
-0.003119,0.009523,-0.064541,0.000408,1.0
-0.002853,0.023113,-0.064515,0.001474,1.0
-0.002103,0.026843,-0.06452,0.000674,0.0
-0.001419,0.023113,-0.06453,-0.000658,-2.0
-0.000917,0.006326,-0.064522,0.001474,-3.0
-0.000958,-0.00833,-0.064522,-0.000392,-3.0
-0.001346,-0.02485,-0.06449,0.004405,-2.0
-0.002114,-0.026183,-0.064506,-0.001191,0.0
-0.002772,-0.022719,-0.064491,0.000141,1.0
-0.003349,-0.011527,-0.064442,0.002806,2.0
-0.003503,-0.003,-0.064424,0.002539,3.0
-0.003397,0.003128,-0.064384,0.00174,2.0
-0.00315,0.010323,-0.06435,-0.002257,2.0
-0.002963,0.004461,-0.064348,0.002006,2.0
-0.002913,-0.000602,-0.064311,0.000141,2.0
-0.002982,-0.002201,-0.064279,0.001207,2.0
-0.003024,0.005526,-0.064241,0.000141,2.0
-0.00296,0.008191,-0.064232,-0.002523,2.0
-0.002639,0.012188,-0.06423,-0.000658,1.0
-0.00241,0.00979,-0.06422,-0.000125,1.0
-0.00239,-0.000336,-0.06421,-0.001724,1.0
-0.002316,-0.005665,-0.06419,0.00174,1.0
-0.002814,-0.018455,-0.06418,0.001474,2.0
-0.003458,-0.023784,-0.064152,-0.000658,4.0
-0.004218,-0.026449,-0.064109,0.00547,6.0
-0.004841,-0.01659,-0.064067,0.002006,7.0
-0.005036,0.001529,-0.06405,0.001474,8.0
-0.004807,0.019915,-0.064065,0.001207,7.0
-0.004167,0.026843,-0.064048,0.001207,6.0
-0.003369,0.027643,-0.064042,0.000408,4.0
-0.002797,0.017251,-0.064023,0.002273,3.0
-0.002492,-6.9e-05,-0.064019,-0.002523,2.0
-0.002761,-0.024584,-0.064011,0.001207,3.0
-0.003886,-0.038706,-0.063993,-0.000392,6.0
-0.005034,-0.036841,-0.063962,0.001207,9.0
-0.00592,-0.026716,-0.063921,0.003872,11.0
-0.006504,-0.010195,-0.063861,0.003872,12.0
-0.006518,-0.007797,-0.063727,0.01453,12.0
-0.00649,0.003128,-0.063652,0.007069,12.0
-0.006359,0.003661,-0.063622,0.003605,12.0
-0.003915,0.123303,-0.061725,0.101131,6.0
-0.004133,-0.038173,-0.06164,-0.034499,8.0
-0.004264,0.00073,-0.061755,0.006003,8.0
-0.004498,-0.010728,-0.061742,0.004138,9.0
-0.004891,-0.010461,-0.061719,0.002539,10.0
-0.005231,-0.002734,-0.061703,0.001207,11.0
-0.005117,0.008191,-0.061694,0.001474,10.0
-0.004777,0.019116,-0.061711,-0.000925,10.0
-0.004296,0.01885,-0.061709,-0.002257,9.0
-0.003952,0.006859,-0.061688,-0.000392,8.0
-0.003972,-0.011261,-0.061691,-0.001191,8.0
-0.00439,-0.023518,-0.061675,0.000941,10.0
-0.005259,-0.026183,-0.061649,0.001207,12.0
-0.005949,-0.02112,-0.061655,0.000408,13.0
-0.006238,-0.007797,-0.061665,0.000141,14.0
